dimension,segment,n,positive_outcomes,outcome_rate,ci_low,ci_high,avg_next_season_index
age_band,19-20,193,52,0.2694300518134715,0.21178677099326715,0.33607303099980745,0.023803435726687243
age_band,21-22,196,52,0.2653061224489796,0.20843918234872302,0.331196208881131,0.04953728251083612
age_band,18 and under,144,38,0.2638888888888889,0.19871366119384087,0.3413346066820479,-0.02235986575585641
age_band,23+,213,48,0.22535211267605634,0.17439346083088694,0.28604217513564356,0.035827621837491525
bonus_tier,$500K-$1.49M,16,10,0.625,0.3864064709793481,0.815190174452472,0.47731909775176984
bonus_tier,$100K-$499K,211,75,0.35545023696682465,0.2939776853087978,0.4220922005978422,0.19876192515633878
bonus_tier,Under $100K,516,105,0.20348837209302326,0.17100148926277906,0.24035766321751498,-0.06070702896690513
country_std,Japan,88,29,0.32954545454545453,0.240276916679746,0.4330737218108727,0.04593789974231281
country_std,Cuba,49,16,0.32653061224489793,0.21207321329264214,0.4662105631259371,0.15378532394039704
country_std,Colombia,26,8,0.3076923076923077,0.16501120939792674,0.49988611514231246,0.06706266247384417
country_std,Venezuela,153,43,0.28104575163398693,0.21585451117980442,0.3569629046078437,0.08168566945286859
country_std,Dominican Republic,225,60,0.26666666666666666,0.2131540188526345,0.32801332135124445,0.029617901925972395
country_std,Mexico,101,22,0.21782178217821782,0.1484757444077501,0.30784693666541163,0.01123810043488544
country_std,Panama,42,8,0.19047619047619047,0.09981889609856436,0.33301067354996444,-0.09056510627785222
country_std,South Korea,62,4,0.06451612903225806,0.025372494807644003,0.15447732658187266,-0.17903324297890916
league,Industrial League,48,17,0.3541666666666667,0.23433457112685735,0.4956120354593591,0.0641245724088717
league,NPB Farm,40,12,0.3,0.18074670915695296,0.454303106543204,0.024113892542442127
league,Cuban National Series,21,6,0.2857142857142857,0.13813675745628204,0.49956773822837586,0.1156639346928013
league,Complex League,215,60,0.27906976744186046,0.22339320493759485,0.3425028586993005,0.07265098760935905
league,Colombian Winter League,15,4,0.26666666666666666,0.10897276103182815,0.5195088965768674,-0.07596660244258713
league,Dominican Summer League,195,50,0.2564102564102564,0.20024144917422232,0.32199132304245665,0.009693798818363191
league,Mexican Pacific League,51,13,0.2549019607843137,0.1554562324126639,0.38868544106148706,0.04655549973259482
league,Panamanian League,21,5,0.23809523809523808,0.10627856389112261,0.45091581972345923,0.03481314530136358
league,Independent,63,12,0.19047619047619047,0.1124608184449851,0.30407020415172115,0.013847732728685126
league,Mexican League,50,9,0.18,0.0977008273245379,0.3079631945470261,-0.024785646848778136
league,KBO Futures,27,2,0.07407407407407407,0.020554221697383523,0.2336997729073062,-0.254293703039589
position_group,C,73,24,0.3287671232876712,0.2319433057283529,0.4427120892660251,-0.016191446489405917
position_group,Pitcher,319,82,0.25705329153605017,0.21218589582952502,0.3077024952576211,0.031097157359782808
position_group,OF,193,47,0.24352331606217617,0.18835964449479692,0.3086978880592973,0.0700105351683703
position_group,IF,161,37,0.22981366459627328,0.17157673421679023,0.30064387029080974,-0.021957873550451323
