player_id,player_name,country_std,league,position,age,bonus_tier,performance_index,projected_next_index,projection_percentile,overall_future_value
INT-0001,Andres Kim,Venezuela,Complex League,OF,26,Under $100K,-0.2314125592048048,-0.19191924988572273,0.3096774193548387,30
INT-0002,Ji-ho Sato,Cuba,Cuban National Series,C,22,Under $100K,0.3959240737921006,-0.020143566662649055,0.45161290322580644,35
INT-0003,Haruto Kim,Dominican Republic,Complex League,C,22,Under $100K,0.5055041412198054,0.4093210745330501,0.8580645161290322,45
INT-0004,Luis Estrada,Venezuela,Dominican Summer League,RHP,21,Under $100K,0.21116909102574138,-0.007119346538530254,0.4645161290322581,40
INT-0005,Seong-hyun Garcia,Dominican Republic,Dominican Summer League,OF,19,Under $100K,0.0011484460129966706,-0.22157524074471024,0.2806451612903226,40
INT-0006,Yun-seo Vargas,South Korea,KBO Futures,IF,21,$100K-$499K,-0.23186745570724926,-0.05352877950020994,0.41935483870967744,50
INT-0007,Seong-hyun Benitez,Dominican Republic,Dominican Summer League,LHP,23,Under $100K,0.30917877475716243,0.08602885318339076,0.5806451612903226,45
INT-0008,Carlos Castillo,Japan,Industrial League,C,20,Under $100K,0.32910150279318373,0.11555092137350849,0.6096774193548387,45
INT-0009,Omar Castillo,Dominican Republic,Dominican Summer League,OF,23,Under $100K,0.7194166974760237,0.3730049693319395,0.8225806451612904,40
INT-0010,Luis Han,Venezuela,Complex League,RHP,20,Under $100K,-0.600379793708664,-0.33431135631737396,0.22258064516129034,35
INT-0011,Carlos Sato,Dominican Republic,Dominican Summer League,C,19,Under $100K,1.210012730025094,0.9901450435045898,0.9903225806451613,55
INT-0012,Luis Navarro,Mexico,Mexican Pacific League,RHP,25,$500K-$1.49M,0.7587156304194932,0.5046948448148961,0.9129032258064517,50
INT-0013,Ji-ho Jimenez,Venezuela,Dominican Summer League,IF,19,Under $100K,0.1649994260782327,0.27678224100721055,0.7387096774193549,50
INT-0014,Esteban Tanaka,Japan,NPB Farm,IF,24,$100K-$499K,-0.9731034488084207,-0.44155516645593024,0.14838709677419354,40
INT-0015,Emilio Rojas,Dominican Republic,Dominican Summer League,C,18,Under $100K,-0.3005875787862353,-0.4022044550857479,0.18064516129032257,45
INT-0016,Esteban Han,Mexico,Mexican Pacific League,LHP,26,$100K-$499K,0.7777671371366137,0.5109523012535587,0.9225806451612903,45
INT-0017,Alejandro Dominguez,Cuba,Independent,RHP,20,Under $100K,-0.9214192757030628,-0.6531239527005754,0.07741935483870968,35
INT-0018,Diego Herrera,Dominican Republic,Dominican Summer League,IF,18,Under $100K,-1.1717875146936498,-0.9171327570763662,0.016129032258064516,40
INT-0019,Jorge Dominguez,Colombia,Complex League,LHP,18,Under $100K,0.42400321643517624,0.277625072736291,0.7451612903225806,45
INT-0020,Daniel Sato,Dominican Republic,Dominican Summer League,RHP,20,Under $100K,-0.035465042606523084,0.23513200170178583,0.7193548387096774,55
INT-0021,Gabriel Park,South Korea,KBO Futures,RHP,23,Under $100K,-0.50715880036415,-0.39179828665351335,0.1870967741935484,40
INT-0022,Ruben Nakamura,Cuba,Cuban National Series,RHP,19,Under $100K,0.46743777990358193,0.4551973590969924,0.8774193548387097,45
INT-0023,Rafael Estrada,Dominican Republic,Dominican Summer League,RHP,20,Under $100K,-0.38192489206066993,-0.2223656346228396,0.27419354838709675,40
INT-0024,Ji-ho Choi,Dominican Republic,Dominican Summer League,RHP,18,Under $100K,0.14937816810026042,0.19194158645068038,0.6709677419354839,55
INT-0025,Ren Dominguez,Cuba,Independent,OF,24,Under $100K,0.6338290843260603,0.40598949048478544,0.8548387096774194,45
INT-0026,Seong-hyun Ramirez,Venezuela,Complex League,IF,24,Under $100K,0.8921829718440519,0.34836385021633126,0.8032258064516129,30
INT-0027,Diego Tanaka,Dominican Republic,Complex League,OF,20,$100K-$499K,0.656362149126403,0.8675364262187666,0.9774193548387097,60
INT-0028,Andres Lopez,Japan,Industrial League,RHP,21,$100K-$499K,0.31470533116796995,0.08549620853968552,0.5774193548387097,40
INT-0029,Omar Rojas,South Korea,KBO Futures,IF,22,Under $100K,-0.8951620424512162,-0.7915885712588943,0.041935483870967745,35
INT-0030,Adrian Vargas,Venezuela,Complex League,IF,20,$100K-$499K,-0.6562550454030042,-0.2282581871796518,0.267741935483871,50
