source_player_id,player_name,birth_date,country,season,league,role,age,sample_size,k_pct,bb_pct,iso,contact_pct,chase_pct,avg_fastball_velocity,zone_pct,sprint_speed,biomech_score,player_id,match_method,country_std,performance_index,position,signing_bonus_usd,country_std_canonical,overall_future_value,position_group,age_band,bonus_tier,next_season_index,next_season,positive_outcome
INT-0001,Andres Kim,1999-09-06,Venezuela,2022,Dominican Summer League,Position Player,23,578,0.2333528130387795,0.0767539884793553,0.0634881942224137,0.6986275558217164,0.2949893258948223,,,25.939427426202837,56.72237543047011,INT-0001,source_id,Venezuela,-0.22189128125043278,OF,22000.0,Venezuela,30,OF,23+,Under $100K,-0.9222309718429036,2023.0,0.0
INT-0001,Andres Kim,1999-09-06,VZ,2023,Dominican Summer League,Position Player,24,274,0.2460816527815817,0.0730438834646613,0.0297404540756788,0.7299867759983303,0.2946356721112912,,,24.530104849543427,42.16426280855816,INT-0001,source_id,Venezuela,-0.9222309718429036,OF,22000.0,Venezuela,30,OF,23+,Under $100K,-0.5266400186562147,2024.0,0.0
INT-0001,Andres Kim,1999-09-06,Venezuela,2024,Dominican Summer League,Position Player,25,421,0.1962100124943129,0.1114550993670718,0.0247721773065777,0.7168821533195968,0.2979417812061154,,,26.8287575395986,49.9252744418322,INT-0001,source_id,Venezuela,-0.5266400186562147,OF,22000.0,Venezuela,30,OF,23+,Under $100K,-0.2314125592048048,2025.0,0.0
INT-0001,Andres Kim,1999-09-06,Venezuela,2025,Complex League,Position Player,26,583,0.188336240726396,0.0954803186278036,0.0532124878867402,0.7576848602472661,0.2501219423247923,,,25.939654889201023,46.34664641643653,INT-0001,source_id,Venezuela,-0.2314125592048048,OF,22000.0,Venezuela,30,OF,23+,Under $100K,,,
INT-0002,JI-HO SATO,2003-03-03,Cuba,2022,Cuban National Series,Position Player,19,155,0.1935115635144112,0.084337324974521,0.072265461174923,0.7338148020155033,0.2502865219000976,,,25.04127301083677,37.901852133572994,INT-0002,source_id,Cuba,-0.2892863122810414,C,25000.0,Cuba,35,C,19-20,Under $100K,,2024.0,
INT-0002,Ji-ho Sato,2003-03-03,Cuba,2024,Independent,Position Player,21,324,0.2408535902112318,0.1321581221319397,0.0801878897950434,0.7299506788615716,0.2150709559030894,,,25.80138860417163,48.89876559630276,INT-0002,source_id,Cuba,0.02703496574807665,C,25000.0,Cuba,35,C,21-22,Under $100K,0.3959240737921006,2025.0,1.0
INT-0002,Ji-ho Sato,2003-03-03,Cuba,2025,Cuban National Series,Position Player,22,309,0.218184569912486,0.0986491100070102,0.1356316223401978,0.7882131462694876,0.230610041645062,,,25.02781483636356,47.14288911840734,INT-0002,source_id,Cuba,0.3959240737921006,C,25000.0,Cuba,35,C,21-22,Under $100K,,,
INT-0003,Haruto Kim,2003-01-15,Dominican Republic,2022,Complex League,Position Player,19,315,0.1916750495250727,0.123695717915608,0.1465191919960026,0.7852437141077044,0.289895078629117,,,25.749735560941623,45.22697684433347,INT-0003,source_id,Dominican Republic,0.5335065907797528,C,55000.0,Dominican Republic,45,C,19-20,Under $100K,0.9635462175229267,2023.0,1.0
INT-0003,Haruto Kim,2003-01-15,Dominican Republic,2023,Complex League,Position Player,20,367,0.2136567005727344,0.0787895457308719,0.1358378669869989,0.7880388172191506,0.2298688934706661,,,27.22437766158053,46.85771670547927,INT-0003,source_id,Dominican Republic,0.9635462175229267,C,55000.0,Dominican Republic,45,C,19-20,Under $100K,0.6004453792034449,2024.0,1.0
INT-0003,Haruto Kim,2003-01-15,Dominican Republic,2024,Dominican Summer League,Position Player,21,318,0.2000398092143735,0.1015455908864539,0.1164681044072663,0.8272793309346215,0.2767101128046456,,,26.01091179379705,45.35309319872975,INT-0003,source_id,Dominican Republic,0.6004453792034449,C,55000.0,Dominican Republic,45,C,21-22,Under $100K,0.5055041412198054,2025.0,1.0
